domain,has_mx
2sms.kyivstar.net,False
advantagepaging.com,True
airmessage.net,True
airtelap.com,True
airtelchennai.com,False
airtelkol.com,False
airtelmail.com,True
airtouch.net,True
airtouchpaging.com,False
alltelmessage.com,True
alphame.com,True
alphanow.net,False
alphapage.airtouch.com,False
archwireless.net,True
beep.com,True
beepone.net,True
beepwear.net,False
bellmobility.ca,True
bellsouth.cl,False
bellsouthtips.com,True
blsdcs.net,True
blueskyfrog.com,False
bluewin.ch,True
bplmobile.com,False
c.vodafone.ne.jp,True
celforce.com,True
cell1.textmsg.com,False
cellcom.quiktxt.com,True
cellularone.textmsg.com,False
cellularone.txtmsg.com,False
cellularonewest.com,False
cingular.com,True
cingularme.com,True
clearlydigital.com,False
clearpath.acswireless.com,False
cmcpaging.com,True
comcastpcs.textmsg.com,False
cookmail.com,True
correo.movistar.net,False
corrwireless.net,True
csouth1.com,True
cspire1.com,True
cvcpaging.com,True
cwemail.com,True
cwmovil.com,True
cwwsms.com,True
delhi.hutch.co.in,False
dpcs.mobile.att.net,False
e-page.net,True
echoemail.net,True
email.skytel.com,True
email.swbw.com,True
email.uscc.net,True
emtelworld.net,True
epage.arch.com,False
epage.porta-phone.com,False
escotelmobile.com,False
fido.ca,True
freesurf.ch,True
gscsms.com,True
gsm1800.telia.dk,False
gte.pagegate.net,True
h.vodafone.ne.jp,True
hawaii.sprintpcs.com,False
ideacellular.net,True
inlandlink.com,True
isp.com,True
iwirelesshometext.com,True
iwspcs.net,True
jsmtel.com,False
m1.com.sg,True
mail.msgsender.com,False
mail.uscc.net,False
mailmymobile.net,False
mci.com,True
mellonmobile.ga,False
message.alltel.com,False
message.bam.com,False
message.cellone-sf.com,False
messagealert.com,True
messaging.centurytel.net,False
messaging.nextel.com,False
messaging.sprintpcs.com,False
metropcs.sms.us,False
ml.bm,False
mmail.co.uk,True
mmode.com,False
mms.alltel.net,False
mms.alltelwireless.com,False
mms.att.net,True
mms.cingularme.com,False
mms.cricketwireless.net,True
mms.gocbw.com,True
mms.myblueworks.com,True
mms.mycricket.com,False
mms.uscc.net,True
mmst5.tracfone.com,True
mmsviaero.com,True
mobile.att.net,False
mobile.celloneusa.com,False
mobile.cellularone.com,False
mobile.dobson.net,False
mobile.gci.net,True
